"PLANET_NUMBER";"p_name";"Star_key";"MASS";"density (earth)";"relative radius";"Terrain Type";"Type_climate"
53;"Riftwarder XXI";8999;1.49;0.915;1.18;"grassy hill, hill, ice canyon, swamp, field, lakes";"subartic, hot, artificial temperate, rocky, frigid, tropical, artic"
54;"Wezen Prime";8516;2.58;0.738;1.52;"jungle, reef";"tropical, arid, frozen"
55;"Wezen Nonal";8516;7.78;1.136;1.9;"valley, cityscape";"tropical, frigid, rocky, hot, windy"
56;"Obsidian Threshold Orphean";5374;2.07;0.772;1.39;"scrubland, ocean";"temperate, rocky, arid, hot"
57;"Kasumi Whisper Nemesisian";7416;6.16;1.211;1.72;"island, cave, volcano, forest, toxic cloudsea";"windy, artificial temperate, superheated, frigid, frozen"
58;"Kasumi Whisper Asclepian";7416;4.67;0.961;1.69;"verdant";"hot, arid, rocky, frigid, artic, superheated"
59;"Kasumi Whisper Museios";7416;3.25;0.733;1.64;"cliff, plateau, fungus forest, rocky island, cityscape, ice cave, forest, rocky canyon";"rocky, subartic, tropical, artificial temperate, artic, arid"
60;"Hawkfire Psychean";6135;9.18;0.842;2.22;"rocky desert, rocky island";"humid, superheated, artic, frozen, temperate"
61;"Hawkfire Centaurios";6135;2.56;1.141;1.31;"plateau";"arid, temperate, artificial temperate, frigid"
62;"Nusakan VIII";178;6.37;0.739;2.05;"valley";"temperate, subartic, rocky"
63;"Nusakan XVIII";178;7.98;1.006;1.99;"desert, rocky canyon";"tropical, frozen, arid, frigid, subartic"
64;"Nusakan XV";178;1.14;1.018;1.04;"reef, acid pool, river, jungle";"frozen, hot, superheated, humid, windy, artificial temperate, frigid"
65;"Horus' Resonance Nemesisian";2931;3.09;0.899;1.51;"volcano";"artic, tropical, superheated"
66;"Horus' Resonance Hermian";2931;7.58;0.744;unknown;"cityscape";"temperate, tropical, windy"
67;"Astrophia San";2933;1.89;0.651;1.43;"reef, rocky island";"hot, artic, superheated, rocky"
68;"Astrophia Wu";2933;5.43;1.213;1.65;"lakes, river";"frozen, subartic, tropical, artic"
69;"Astrophia Ba";6074;8.19;0.662;2.31;"valley, reef, urban, forest";"humid, rocky, temperate, subartic"
70;"Spectral Threshold Asclepian";6141;6.21;1.157;1.75;"field, ocean, ash, valley, rainforest";"hot, windy, frozen, subartic, tropical, rocky"
71;"Atik Shi";5983;1.46;1.612;0.97;"barren, jungle, volcano, plain, rainforest, lakes, grassland, forest, river, rocky canyon";"superheated, humid, frozen, arid, tropical, artic, hot"
72;"Atik Yi";5983;1.42;0.663;1.29;"city, ice cave";"arid, hot, frigid, superheated, artic"
73;"Atik Ba";5983;2.38;0.691;1.51;"ice canyon, sea, toxic cloudsea, rocky desert, tundra";"windy, frozen, artificial temperate, rocky, tropical, superheated, temperate"
74;"Elgafar Beta";4652;2.51;0.804;1.46;"island, grassy hill";"rocky, hot, arid, temperate, frigid"
75;"Shinju Liu";2007;1.5;0.699;1.29;"canyons, rocky canyon";"temperate, subartic, tropical, superheated, hot"
76;"Shinju Yi";2007;1.12;1.053;1.02;"island, bog";"artic, tropical, rocky"
77;"Ninja's Horizon IV";476;4.65;0.838;unknown;"mountain, rocky island";"windy, humid"
78;"Ninja's Horizon IX";476;2.62;0.978;1.39;"jungle, acid pool";"hot, temperate, superheated"
79;"Bibhā Undecimal";9332;2.07;1.437;1.13;"field, sea, plain, forest, jungle";"humid, arid, frigid"
80;"Bibhā Quintal";9332;0.59;1.585;0.72;"fungus forest, rocky canyon";"humid, artificial temperate, windy, tropical"
81;"Helian Nebula Jiu";611;0.46;0.767;0.84;"urban, plain, ice cave";"windy, temperate, subartic"
82;"Gacrux Secant";1673;2.69;0.637;1.62;"cliff, rocky island, plateau, lakes, field, glacier, verdant, jungle";"tropical, frozen, subartic, hot, arid, artic, temperate"
83;"Gacrux Septimal";1673;2.58;0.923;1.41;"grassland";"artificial temperate, humid, arid, artic"
84;"Gacrux Nonal";1673;2.49;0.724;1.51;"grassland, volcano, ash, field, mountain, rock arche";"artificial temperate, tropical, windy, temperate, arid, superheated"
85;"Gacrux Quartal";1673;3.36;0.914;1.54;"savanna";"subartic, frigid, hot, arid"
86;"Taika Eta";4689;1.24;0.827;1.14;"plateau, canyons, grassland";"artic, humid, hot"
87;"Taika Chi";4689;6.02;0.881;1.9;"savanna, mountain";"subartic, tropical, frigid"
88;"Menkalinan XIX";4511;0.53;0.633;0.94;"ice cave, sinkholes, ice canyon, savanna, ash, tundra";"arid, rocky, superheated, frigid"
89;"Menkalinan VI";4511;6.66;1.237;1.75;"hill, scrubland, plateau, ice cave";"arid, artic, windy, frozen"
90;"Sika XIII";2916;6.32;0.96;1.87;"swamp, rocky desert, vine, plateau, bog";"temperate, frigid, arid, humid"
91;"Bonsai Celestial Si";8059;4.66;0.379;2.31;"glacier, desert, urban, tundra";"subartic, frigid, artic, arid"
92;"Bonsai Celestial Jiu";8059;unknown;0.825;2.11;"rocky island, cave, plateau";"arid, hot, superheated, artificial temperate"
93;"Bonsai Celestial Qi";2310;1.54;1.459;1.02;"sea, cliff, city, canyons, river, plain";"humid, frozen, hot, rocky"
94;"Lusitânia Pi";5134;2.56;0.982;1.38;"ice canyon, bog";"frigid, hot"
95;"Aldhanab Duodecimal";9436;9.04;0.58;2.5;"plain, river";"artificial temperate, arid, frozen"
96;"Aldhanab Quartal";9436;1.04;1.109;unknown;"cityscape, rocky desert, plateau, hill, island, ice canyon";"frigid, frozen, subartic, superheated"
97;"Alsafi Eta";1768;0.54;0.638;0.95;"plateau, mountain";"rocky, tropical, hot, artic"
98;"Alsafi Zeta";1768;2.84;0.963;1.43;"hill";"hot, windy, frigid"
99;"Alsafi Omicron";1768;0.89;0.823;1.03;"mountain";"hot, superheated"
100;"Naos Yi";1600;1.08;1.687;0.86;"forest, cave, fungus forest";"frigid, temperate, subartic, humid"
101;"Naos Er";1600;2.12;1.067;1.26;"ash, canyons";"windy, humid, hot"
102;"Bharani Prime";1316;1.7;0.389;1.64;"hill, bog, rocky canyon, swamp, cliff, jungle, cityscape, glacier";"rocky, artic, artificial temperate, humid, windy, tropical"
103;"Bharani Nonal";1316;0.68;0.713;0.98;"plain";"superheated, temperate, humid"
104;"Spectral Serenity Prime";4632;4.42;1.458;1.45;"glacier, savanna, cliff, plateau";"subartic, humid, arid, frigid"
105;"Spectral Serenity Nonal";4632;2.42;0.833;unknown;"urban, hill, tundra, rainforest, island, acid pool";"hot, humid, windy, arid, subartic"
106;"Spectral Serenity Septimal";4632;6.03;0.648;2.1;"urban, desert, plain, hill, plateau, acid pool";"hot, humid, tropical, artificial temperate, frozen"
107;"Spectral Serenity Undecimal";4632;0.71;1.207;0.84;"cityscape, forest";"humid, tropical, arid, frozen, subartic"
108;"Betelgeuse Undecimal";5763;5.61;1.57;1.53;"sea, valley";"subartic, artic, humid, tropical, temperate"
109;"Betelgeuse Prime";5763;2.28;1.057;1.29;"savanna, acid pool";"superheated, windy, frozen, artic"
110;"Betelgeuse Octal";5763;6.79;1.033;1.87;"rainforest, lakes, ocean, rock arche, urban, grassy hill, cave";"frozen, subartic, artificial temperate, rocky, tropical"
111;"Helixar San";7837;3.03;1.12;1.39;"reef";"artic, temperate, humid"
112;"Phecda Dionysios";3372;7.6;1.032;1.95;"lava river, cliff";"hot, arid, windy, rocky, frigid"
113;"Phecda Echoian";3372;unknown;0.644;1.78;"valley, swamp, cave, cliff";"windy, superheated, arid, humid"
114;"Phecda Nemesisian";3372;6.54;1.007;1.87;"cityscape, valley";"subartic, windy"
115;"Prima Hyadum Delta";8542;1.03;1.004;1.01;"mountain, rocky island, cityscape, ash, island";"subartic, hot, artic, rocky"
116;"Kiseki Expanse Zephyrian";2613;4.61;0.479;2.13;"rocky desert";"frigid, rocky, arid, subartic"
117;"Kiseki Expanse Dionysios";2613;1.49;1.22;1.07;"rocky canyon, swamp, bog";"hot, windy, tropical"
118;"Alula Australis Alpha";3745;0.96;0.834;1.05;"bog, hill, cityscape, reef, scrubland, toxic cloudsea, ice cave, forest";"superheated, windy, arid, frozen, artificial temperate, rocky, temperate"
119;"Alula Australis Kappa";3745;5.63;0.687;2.02;"city";"hot, artic, artificial temperate, rocky"
120;"Sadalsuud III";8186;1.17;1.181;1;"urban, volcano, island, field";"superheated, frozen, hot"
121;"Fomalhaut Duodecimal";5468;4.39;1.051;1.61;"tundra, rock arche, plateau, desert, glacier, verdant, mountain, sinkholes";"subartic, hot, frigid, frozen, humid, superheated"
122;"Cosmaraud Septimal";6479;2.14;1.179;1.22;"ice canyon, volcano, forest, field";"superheated, tropical, artic, subartic"
123;"Cosmaraud Prime";6479;1.43;0.853;1.19;"island, rocky desert";"arid, rocky, artificial temperate, tropical, hot, frigid"
124;"Cosmaraud Octal";6479;2.61;0.812;1.48;"sea, fungus forest";"humid"
125;"Cosmaraud Secant";6479;3.37;0.864;1.57;"cliff";"tropical, frozen, frigid, temperate, subartic, rocky"
126;"Hunor XV";7432;5.71;1.525;1.55;"plain";"hot, rocky, tropical"
127;"Tonatiuh Theta";6651;3.07;0.658;1.67;"valley, grassy hill, ocean, plateau";"rocky, artificial temperate, frigid, arid"
128;"Muphrid Cerberian";2682;5.59;1.201;1.67;"volcano, plain, cliff, lava river, verdant, barren";"tropical, frigid, arid, frozen"
129;"Oakenshield Chimeraean";5542;6.96;1.069;1.87;"verdant, mountain, glacier, river";"rocky, tropical, frozen, hot, artic, humid, temperate"
130;"Oakenshield Nyxios";5542;0.66;0.8;0.94;"rocky desert, ice cave, glacier, mountain, canyons";"windy, rocky, frozen, subartic"
131;"Shama XXII";4006;6.22;1.1;1.78;"hill, plateau, ocean";"frigid, rocky, superheated, artic, frozen, arid"
132;"Radiancea Quintal";974;0.73;1.124;0.87;"valley, city, canyons, plain, glacier";"tropical, hot, windy, frigid"
133;"Rōka Sigma";5256;1.56;1.265;1.07;"rocky island";"rocky, tropical"
134;"Rōka Alpha";5256;unknown;0.95;1.49;"vine, city";"temperate"
135;"Rōka Mu";5256;3.24;0.952;1.5;"lava river, cliff";"frozen, windy, rocky, arid, artic"
136;"Rōka Upsilon";5256;3.64;1.132;1.48;"mountain, cave, ocean, volcano, toxic cloudsea, tundra, hill, lava river";"artic, windy, artificial temperate, frozen, tropical, superheated, subartic"
137;"Fulu Omega";9475;7.42;0.919;unknown;"grassland, forest, sinkholes";"hot, humid, temperate"
138;"Lucilinburhuc XXI";1835;3.07;0.932;1.49;"grassy hill, ocean, grassland";"hot, temperate, tropical"
139;"Nebulosys Er";7073;9.58;1.005;2.12;"ice canyon";"artic, arid, subartic, artificial temperate, frozen"
140;"Nebulosys Wu";7073;unknown;0.889;1.4;"acid pool, cliff";"humid, tropical"
141;"Nebulosys San";7073;unknown;1.059;1.14;"toxic cloudsea, cave, barren, city";"superheated, frozen, subartic, artic, arid"
142;"Aldebaran Demetrian";6971;7.62;1.083;1.92;"glacier, toxic cloudsea, river, ice canyon";"arid, hot, artic"
143;"Samurai's Veil XIV";6836;2.66;0.934;1.42;"rocky canyon, grassy hill";"artificial temperate, rocky, windy, artic"
144;"Lunaris Echoian";7034;2.18;1.208;1.22;"hill, forest, mountain, jungle, grassland, volcano";"artic, hot, rocky, superheated, frigid, temperate, tropical"
145;"Kasai Kappa";6042;4.95;1.045;1.68;"valley, rocky desert";"rocky, humid, artificial temperate"
146;"Yoru Ascendance Irisian";1408;9.39;1.138;2.02;"";"windy"
147;"Yoru Ascendance Herculean";1408;1.52;1.532;1;"ocean, mountain, river";"arid, windy, tropical, subartic, superheated, artificial temperate, artic"
148;"Yoru Ascendance Tritonian";1408;6.79;0.584;2.27;"ice cave, hill, lava river, cliff";"humid, subartic, windy, superheated"
149;"Cosmaraith Quintal";8761;2.15;0.802;1.39;"rocky desert, sinkholes, jungle, mountain, field, ash, rocky canyon";"humid, rocky, frozen, temperate, hot, superheated"
150;"Cosmaraith Duodecimal";8761;7.64;1.165;1.87;"desert";"hot, tropical, rocky"
151;"Cosmaraith Secant";8761;0.67;0.903;0.91;"sea";"humid, frigid, hot, rocky"
152;"Cosmaraith Sextant";8761;3.27;1.031;1.47;"rock arche, vine, field, city, rainforest";"artic, windy, subartic, humid"
153;"Mystic Expanse IV";6283;3.6;1.246;1.42;"jungle";"tropical, windy, frigid, humid, subartic"
154;"Mystic Expanse VII";6283;3.82;0.872;1.64;"canyons, rocky canyon, barren, jungle, ash";"temperate, subartic, tropical, arid, superheated"
155;"Márohu Hecatean";6118;4.29;0.735;1.8;"lava river, plain";"arid, rocky, humid, subartic, temperate"
156;"Márohu Cerberian";6118;0.79;1.108;0.89;"ice canyon, valley, ash, barren, forest, cityscape";"arid, tropical, artic, windy, superheated"
157;"Márohu Zephyrian";6118;2.27;1.062;1.29;"jungle, plain, hill, swamp, lakes, sea, bog, mountain";"frigid, hot, temperate, rocky, windy, artificial temperate, humid"
158;"Márohu Pantheon";6118;4.99;0.623;2;"city, plain";"artic, tropical, artificial temperate, superheated, temperate, windy"
159;"Tianyi Demetrian";2086;1.62;0.716;1.31;"river, fungus forest, sea";"superheated, tropical, rocky, frozen, artic"
160;"Fjordfall Pi";6711;4.66;0.776;1.82;"ice cave, valley, sinkholes, ice canyon";"superheated, humid, rocky, artic"
161;"Ainalrami Septimal";2538;2.34;1.079;1.29;"canyons, forest, city, volcano";"temperate, artificial temperate, arid, frozen"
162;"Ainalrami Decimal";2538;unknown;0.625;2.1;"mountain, river";"rocky"
163;"Sadr Iota";3081;1.36;1.004;1.11;"rocky canyon, jungle, scrubland, ocean, city, toxic cloudsea, river, savanna";"frozen, hot, artificial temperate, arid, subartic"
164;"Sadr Rho";3081;6.43;1.203;1.75;"ice cave, mountain";"artic"
165;"Sadr Pi";3081;3.89;0.659;1.81;"fungus forest, cityscape, toxic cloudsea, grassy hill, tundra, reef, rock arche";"rocky, temperate, windy, subartic, artic, hot, tropical"
166;"Kōkei Labyrinth Titanos";2059;6.73;1.148;1.8;"valley, mountain, urban, fungus forest, hill, rocky island, acid pool";"frozen, temperate, rocky, hot, artificial temperate, humid"
167;"Miaplacidus Vigesimal";3285;2.56;1.198;1.29;"swamp, rainforest";"frozen, humid"
168;"Irena XXII";299;1.27;1.038;1.07;"savanna, mountain, ice cave, valley, rocky canyon";"tropical, temperate, frigid"
169;"Quantumara Jiu";1112;4.44;0.965;1.66;"mountain, reef";"artic, tropical, rocky, subartic"
170;"Quantumara Yi";1112;6.18;1.102;1.78;"ocean";"windy, frozen, frigid, rocky"
171;"Alderamin Quartal";6918;2.13;0.58;1.54;"ash";"subartic, hot, temperate"
172;"Alderamin Vigesimal";6918;2.23;1.17;1.24;"verdant, tundra, rock arche, cityscape, rocky canyon, river";"frigid, tropical, temperate, artificial temperate, rocky"
173;"Alderamin Undecimal";6918;0.94;1.111;0.95;"ice canyon, savanna";"tropical, subartic"
174;"Ran VII";113;3.33;1.109;1.44;"desert, bog, glacier, sea, grassy hill, river";"frigid, tropical, rocky, subartic, artificial temperate"
175;"Ran XXIV";113;5.53;0.889;1.84;"jungle, sinkholes, grassland, grassy hill, bog, city, field";"superheated, frozen, tropical, humid, frigid"
176;"Ran IX";113;1.81;0.591;1.45;"vine, cave, glacier, plain";"artic, hot, subartic, rocky"
177;"Ran II";113;2.8;0.881;1.47;"canyons";"frigid, arid, artificial temperate"
178;"Aquilan Cipher Eosian";8012;1.93;1.05;1.22;"reef, urban";"artic, arid, artificial temperate, superheated, humid"
179;"Aquilan Cipher Hadean";8012;3.01;1.315;1.32;"rainforest";"humid"
180;"Cocibolca San";9302;unknown;1.007;1.9;"cityscape, ice canyon, island, hill, ice cave";"subartic, arid, frigid"
181;"Cocibolca Yi";9302;5.64;0.808;1.91;"rocky desert";"tropical, temperate, humid"
182;"Mirzam Mu";1836;3.38;1.002;1.5;"glacier, plateau";"artificial temperate, frozen"
183;"Mirzam Sigma";1836;6.16;1.13;1.76;"grassland, acid pool, island, lakes";"tropical, temperate, artificial temperate, hot"
184;"Obelisk Whisper XXIV";157;5.47;0.741;1.95;"plain, canyons, rocky desert, grassland, bog, savanna, lava river, urban, swamp, rocky canyon, volcano";"subartic, frigid, artificial temperate, hot, temperate, tropical, artic"
185;"Quasarionyx Morphean";784;1.63;0.868;1.23;"mountain, verdant, desert, ocean, tundra";"superheated, windy, subartic, frozen, artificial temperate"
186;"Aegis Cryptic Beta";682;2;0.724;1.4;"urban, sea";"superheated, temperate, humid"
187;"Aegis Cryptic Phi";682;4.43;1.12;1.58;"field";"temperate, artic, superheated"
188;"Tania Australis Centaurios";9747;6.56;1.028;1.85;"barren";"artic, arid, rocky, humid"
189;"Tania Australis Chimeraean";9747;6.86;0.699;2.14;"cave, desert";"rocky, temperate, arid, frigid, subartic, hot"
190;"Xihe XII";9146;4.08;0.836;1.7;"city, sea, glacier, valley";"superheated, humid, temperate, artic"
191;"Xihe XIV";9146;1.01;1.14;0.96;"lakes, ash, rocky island, vine, rocky canyon, island, savanna, desert, volcano, field, plain";"tropical, superheated, artic, frozen, frigid, artificial temperate, subartic"
192;"Taiyangshou Dionian";4437;1.81;1.389;1.09;"toxic cloudsea";"artic, superheated, arid, artificial temperate, rocky, frigid"
193;"Taiyangshou Aphroditos";4437;1.92;1.169;1.18;"jungle, fungus forest, cliff";"arid, artificial temperate, superheated, hot"
194;"Taiyangshou Artemian";4437;unknown;1.129;1.29;"mountain, river, forest";"arid, humid, artificial temperate, windy"
195;"Oborozuki Er";6903;6.37;1.007;1.85;"river, plateau";"frozen, frigid, rocky, temperate"
196;"Oborozuki Si";6903;8.94;1.133;1.99;"valley, cityscape, field, desert, ice cave";"windy, arid, temperate, frozen, superheated, artificial temperate"
197;"Canopus Pegasusian";2608;2.23;1.056;1.28;"desert, urban, glacier, city, jungle";"subartic, tropical, arid, artificial temperate, windy, temperate, rocky"
198;"Tenshi Echoes Nonal";5330;2.92;0.865;1.5;"verdant, cliff, forest";"hot, tropical, windy, frigid"
199;"Astraflame Jiu";4944;1.63;0.541;1.44;"sinkholes";"subartic, arid, frozen, temperate, frigid, hot, humid"
200;"Palladium Shroud Poseidian";1990;1.64;1.143;1.13;"hill, reef";"temperate, hot"
201;"Ignitionara Oranos";1570;5.89;0.923;1.86;"valley";"windy, artic, frozen, superheated"
202;"Pipirima Nyxios";5106;1.98;1.189;1.19;"plain";"frozen, arid, subartic"
203;"Imai XI";4392;0.86;1.179;0.9;"field, rainforest";"tropical, humid, artic, rocky"
204;"Nebula Nexus Pi";8031;7.52;0.81;2.1;"ice canyon, bog, desert";"humid, hot, artic, frozen, superheated, rocky, artificial temperate"
205;"Nebula Nexus Xi";8031;5.75;1.217;1.68;"reef";"artificial temperate, frozen, rocky, artic"
206;"Nebula Nexus Epsilon";8031;2.08;0.983;1.28;"grassland, rocky canyon, reef, swamp, sea";"humid, artic, windy, tropical, arid, subartic"
207;"Astral Echo Wu";3188;9.67;0.434;2.81;"ash, sinkholes";"temperate, subartic, frigid, superheated"
208;"Astral Echo San";3188;3.93;1.263;1.46;"river, jungle, hill, urban, city";"frozen, humid, windy, tropical, artificial temperate"
209;"Astral Echo Liu";3188;0.36;0.575;0.86;"jungle";"arid, hot, humid, superheated, frozen, artic"
210;"Astral Echo Yi";3188;7.28;0.733;2.15;"hill, verdant";"frigid"
211;"Inquill Undecimal";2848;8.19;0.845;2.13;"swamp, plain, glacier, reef, cave";"superheated, hot, temperate, windy, humid, frozen, artificial temperate"
212;"Iklil Theta";8400;8.53;0.894;2.12;"";"windy"
213;"Iklil Xi";8400;0.58;0.79;0.9;"plain, cliff, river";"frozen, subartic"
214;"Exoplanix Shi";7140;unknown;0.694;1.65;"river, fungus forest, grassy hill, tundra, ocean, mountain, valley";"artic, tropical, frozen, humid, artificial temperate"
215;"Saiph Quintal";5109;1.41;1.254;1.04;"cliff";"artificial temperate"
216;"Mizar VI";7779;3.35;0.811;unknown;"volcano, verdant, ice canyon, field, bog";"artificial temperate, superheated, frigid, temperate"
217;"Eternal Murmurs Pi";103;2.33;1.072;1.3;"bog, plain";"humid"
218;"Eternal Murmurs Psi";103;8.57;1.23;1.91;"valley, barren, verdant";"subartic, superheated, arid, windy"
219;"Eternal Murmurs Upsilon";103;5.66;1.001;1.78;"hill, valley, island, ice canyon";"frigid, hot, frozen, temperate"
220;"Celestara II";3648;0.92;0.941;0.99;"rocky island, glacier, savanna";"windy, rocky, artic"
221;"Celestara XII";3648;3.17;1.137;1.41;"jungle, ice cave, river";"frigid, humid, hot"
222;"Achernar Sigma";1424;1.73;0.761;1.31;"grassland, city, hill";"humid, rocky, hot, temperate, artic"
223;"Jishui Oranos";77;7.34;0.77;2.12;"acid pool";"artificial temperate, superheated, rocky, temperate"
224;"Mimosa Delta";6641;0.83;0.827;1;"rocky island, vine, acid pool, ash, savanna, lakes";"frigid, temperate, windy, hot, rocky"
225;"Mimosa Pi";6641;7.75;1.307;1.81;"bog";"hot, arid, windy, artificial temperate, tropical"
226;"Mimosa Xi";6641;7.82;1.339;1.8;"jungle";"frigid, tropical, windy, artic"
227;"Mimosa Beta";6641;2.25;0.926;1.34;"plateau, ice cave";"artificial temperate, subartic"
228;"Asterion Abyss Xi";6765;2.74;1.043;1.38;"verdant, city";"artificial temperate"
229;"Asterion Abyss Omicron";6765;0.89;0.898;1;"lakes, plateau, rock arche, lava river, cave, vine, ash, scrubland";"tropical, frigid, superheated, arid, frozen, rocky, artic"
